"LANGUAGE","APP_NAME","MODULE","LANG_CODE","VALUE","VERSION"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Back","Back","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_CapturePhoto","Capture Photo","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Created","created.","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Description","Description*","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Device","Device*","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_DoNotGoBack","Do not go back or refresh the page.","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_EnterTitle","Enter the Title","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDevices","Error while loading 'Devices.' Please retry.","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorLoading","Error while loading data. Please retry.","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_InProgress","In Progress","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueDetails","Issue Details","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueLoadingData","Issue loading the data","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Issues","Issues","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxUploadSize","Maximum file upload size: %.1f MB.","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_PleaseWaitLoading","Please wait while itâ€™s loadingâ€¦","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_PullToRefresh","Pull down to refresh","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_RecordVideo","Record Video","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectCategory","Select the category","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectSubCategory","Select the sub category","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDeviceType","Select Device Type*","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectImages","Select Images","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDevice","Select the device","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_FileExceedsSize","This file exceeding the maximum file size of %.1f","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Title","Title*","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_UnableToLoadData","Unable to load data. Please retry.","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Upload","Upload","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentSingular","%lld Attachment","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentPlural","%lld Attachments","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_AddDetails","Add details here","1.0"
"en","NATIVE TICKET SDK","STATIC TEXT","NTS_Category","Category*","1.0"
