"LANGUAGE","APP_NAME","MODULE","LANG_CODE","VALUE","VERSION"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Back","Espalda","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_CapturePhoto","Capturar foto","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Created","creado.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Description","Descripción","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Device","Dispositivo","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_DoNotGoBack","No vuelvas atrás ni actualices la página.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_EnterTitle","Introduce el título.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDevices","Error al cargar 'Dispositivos'. Por favor, inténtelo de nuevo.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorLoading","Error al cargar los datos. Por favor, inténtelo de nuevo.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_InProgress","En Progreso","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueDetails","Detalles del problema","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueLoadingData","Problema al cargar los datos","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Issues","Problemas","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxUploadSize","Tamaño máximo de carga de archivo: %.1f MB.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_PleaseWaitLoading","Por favor, espera mientras se carga...","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_PullToRefresh","Tire hacia abajo para actualizar","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_RecordVideo","Grabar video","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectCategory","Selecciona la categoría.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectSubCategory","Selecciona la subcategoría.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDeviceType","Seleccionar tipo de dispositivo*","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectImages","Seleccionar imágenes","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDevice","Selecciona el dispositivo.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_FileExceedsSize","Este archivo excede el tamaño máximo de archivo de %.1f","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Title","Título","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_UnableToLoadData","No se puede cargar los datos. Por favor, inténtelo de nuevo.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Upload","Subir","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentSingular","%lld Adjunto","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentPlural","%lld Archivos adjuntos","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_AddDetails","Agrega detalles aquí","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Category","Categoría","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorCategory","Error al cargar 'Categoría'. Por favor, inténtelo de nuevo.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Retry","Reintentar","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectAll","Seleccionar todo","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_StoreHealth","Salud de la tienda","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_SubCategory","Subcategoría","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketNumber","Boleto #","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketID","Identificación del boleto:","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Uploaded","Subido (%lld de %lld)","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_AddAttachment","Agregar adjunto","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDeviceType","Error al cargar 'Tipo de dispositivo'. Por favor, inténtelo de nuevo.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorSubmitting","Error al enviar el problema. Por favor, inténtelo de nuevo.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_New","Nuevo","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_NewIssue","Nuevo problema","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Ok","Ok.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Resolved","Resuelto","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_Submit","Enviar","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_UploadAttachment","Cargar adjunto","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxFilesSelected","No se pueden seleccionar más de %lld archivos para cargar.","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network","Red","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_sd_extra_activities","Actividades Extra de SD","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware","Hardware","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_negoziando","Negociando","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_hardware","Hardware","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_ls_retail","LS Retail","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_network","Red","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_iPhone","iPhone","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_eva_uc","EVA UC","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_adyen","Adyen","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_software","Software","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_ipad","iPad","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_monitoring","Monitoreo","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_printer","Impresora","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_inquiry","Consulta / Ayuda","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_audio_video","Audio/Video","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_iphone","iPhone","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_database","Base de datos","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_eva","EVA","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_clientela","Clientela","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_software","Software","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_wifi_access_point","Punto de acceso WiFi","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_router","Enrutador","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_dati_fisso_bloccante","Datos - Fijo - Bloqueante","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_dati_fisso_nonbloccante","Dato - Fijo - No BloqueanteAnomalía","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_firewall","Cortafuegos","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_switch","Interruptor","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_sd_extra_activities_sd_callback_support_activity","Actividad de soporte de devolución de llamada de SD","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware_drawer","Cajón","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware_ipad","iPad","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware_ipad_base_station","Estación base de iPad","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware_iphone","iPhone","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware_charging_station","Estación de carga","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware_credit_card_terminals","Terminales de tarjetas de crédito","1.0"
"es","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware_backoffice_pc_monitor","Monitor de PC de backoffice","1.0"
