"LANGUAGE","APP_NAME","MODULE","LANG_CODE","VALUE","VERSION"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Back","En arrière","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_CapturePhoto","Prendre une photo","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Created","créé","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Description","Description","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Device","Appareil","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_DoNotGoBack","Ne revenez pas en arrière ou ne rafraîchissez pas la page.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_EnterTitle","Entrez le titre","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDevices","Erreur lors du chargement de 'Appareils'. Veuillez réessayer.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorLoading","Erreur lors du chargement des données. Veuillez réessayer.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_InProgress","En cours","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueDetails","Détails de l'incident","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueLoadingData","Problème de chargement des données","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Issues","Problèmes","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxUploadSize","Taille maximale de téléchargement de fichier : %.1f Mo.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_PleaseWaitLoading","Veuillez patienter pendant le chargement...","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_PullToRefresh","Tirez vers le bas pour rafraîchir","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_RecordVideo","Enregistrer une vidéo","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectCategory","Sélectionnez la catégorie","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectSubCategory","Sélectionnez la sous-catégorie","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDeviceType","Sélectionner le type d'appareil*","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectImages","Sélectionner des images","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDevice","Sélectionnez l'appareil","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_FileExceedsSize","Ce fichier dépasse la taille maximale de fichier de %.1f","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Title","Titre","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_UnableToLoadData","Impossible de charger les données. Veuillez réessayer.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Upload","Télécharger","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentSingular","Pièce jointe %lld","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentPlural","%lld Pièces jointes","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_AddDetails","Ajouter des détails ici","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Category","Catégorie","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorCategory","Erreur lors du chargement de 'Catégorie'. Veuillez réessayer.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Retry","Réessayer","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectAll","Sélectionner tout","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_StoreHealth","Santé du magasin","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_SubCategory","Sous-catégorie*","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketNumber","Billet #","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketID","Identifiant du billet :","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Uploaded","Téléchargé (%lld sur %lld)","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_AddAttachment","Ajouter une pièce jointe","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDeviceType","Erreur lors du chargement de 'Type de périphérique'. Veuillez réessayer.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorSubmitting","Erreur lors de la soumission du problème. Veuillez réessayer.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_New","Nouveau","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_NewIssue","Nouvelle publication","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Ok","D'accord","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Resolved","Résolu","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_Submit","Soumettre","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_UploadAttachment","Télécharger la pièce jointe","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxFilesSelected","Vous ne pouvez pas sélectionner plus de %lld fichiers à télécharger.","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network","Réseau","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_sd_extra_activities","Activités supplémentaires SD","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware","Matériel","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_negoziando","Négociant","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_hardware","Matériel","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_ls_retail","LS Retail","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_network","Réseau","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_iPhone","iPhone","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_eva_uc","EVA UC","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_adyen","Adyen","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_software","Logiciel","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_ipad","iPad","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_monitoring","Surveillance","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_printer","Imprimante","1.0"
"fr","NATIVE TICKET SDK","STATIC TEXT","DM_SN_inquiry","Enquête / Aide","1.0"
