"LANGUAGE","APP_NAME","MODULE","LANG_CODE","VALUE","VERSION"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Back","Indietro","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_CapturePhoto","Cattura Foto","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Created","creato","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Description","Descrizione","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Device","Dispositivo","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_DoNotGoBack","Non tornare indietro o aggiornare la pagina.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_EnterTitle","Inserisci il titolo","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDevices","Errore durante il caricamento di 'Dispositivi'. Si prega di riprovare.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorLoading","Errore durante il caricamento dei dati. Si prega di riprovare.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_InProgress","In corso","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueDetails","Dettagli dell'argomento","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueLoadingData","Problema nel caricare i dati","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Issues","Questioni","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxUploadSize","Dimensione massima di caricamento file: %.1f MB.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_PleaseWaitLoading","Si prega di attendere mentre sta caricando...","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_PullToRefresh","Trascina verso il basso per aggiornare","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_RecordVideo","Registra video","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectCategory","Seleziona la categoria","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectSubCategory","Seleziona la sottocategoria","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDeviceType","Seleziona il tipo di dispositivo*","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectImages","Seleziona immagini","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDevice","Seleziona il dispositivo","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_FileExceedsSize","Questo file supera la dimensione massima del file di %.1f","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Title","Titolo","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_UnableToLoadData","Impossibile caricare i dati. Si prega di riprovare.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Upload","Caricare","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentSingular","%lld Allegato","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentPlural","Allegati %lld","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_AddDetails","Aggiungi i dettagli qui","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Category","Categoria","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorCategory","Errore durante il caricamento di 'Categoria'. Si prega di riprovare.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Retry","Riprova","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectAll","Seleziona Tutto","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_StoreHealth","Salute del negozio","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_SubCategory","Sottocategoria","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketNumber","Biglietto #","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketID","ID del biglietto:","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Uploaded","Caricato (%lld su %lld)","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_AddAttachment","Aggiungi allegato","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDeviceType","Errore durante il caricamento di 'Tipo di dispositivo'. Si prega di riprovare.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorSubmitting","Errore durante l'invio della segnalazione. Si prega di riprovare.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_New","Nuovo","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_NewIssue","Nuova Edizione","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Ok","Ok","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Resolved","Risolto","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_Submit","Inviare","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_UploadAttachment","Carica allegato","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxFilesSelected","Non puoi selezionare più di %lld file da caricare.","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network","Rete","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_sd_extra_activities","Attività extra SD","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware","Hardware","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_negoziando","Bartering","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_hardware","Hardware","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_ls_retail","LS Retail","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_network","Rete","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_iPhone","iPhone","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_eva_uc","EVA UC","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_adyen","Adyen","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_software","Software","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_ipad","iPad","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_monitoring","Monitoraggio","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_printer","Stampante","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_inquiry","Indagine / Aiuto","1.0"
"it","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_audio_video","Audio/Video","1.0"
