"LANGUAGE","APP_NAME","MODULE","LANG_CODE","VALUE","VERSION"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Back","Terug","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_CapturePhoto","Maak foto","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Created","gemaakt.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Description","Beschrijving","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Device","Apparaat","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_DoNotGoBack","Ga niet terug of vernieuw de pagina niet.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_EnterTitle","Voer de titel in","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDevices","Fout bij het laden van 'Apparaten.' Probeer opnieuw.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorLoading","Fout bij het laden van gegevens. Probeer opnieuw.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_InProgress","Bezig","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueDetails","Probleemgegevens","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueLoadingData","Probleem met het laden van de gegevens","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Issues","Problemen","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxUploadSize","Maximale bestandsgrootte voor upload: %.1f MB.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_PleaseWaitLoading","Wacht even terwijl het laadt...","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_PullToRefresh","Trek omlaag om te vernieuwen","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_RecordVideo","Neem video op.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectCategory","Selecteer de categorie.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectSubCategory","Selecteer de subcategorie.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDeviceType","Selecteer apparaattype*","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectImages","Selecteer Afbeeldingen","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDevice","Selecteer het apparaat.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_FileExceedsSize","Dit bestand overschrijdt de maximale bestandsgrootte van %.1f","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Title","Titel","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_UnableToLoadData","Kan gegevens niet laden. Probeer opnieuw.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Upload","Upload","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentSingular","%lld Bijlage","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentPlural","%lld Bijlagen","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_AddDetails","Voeg hier details toe","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Category","Categorie","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorCategory","Fout bij het laden van 'Categorie'. Probeer opnieuw.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Retry","Opnieuw proberen","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectAll","Selecteer alles","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_StoreHealth","Winkelgezondheid","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_SubCategory","Subcategorie","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketNumber","Ticket #","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketID","Ticket ID:","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Uploaded","Geüpload (%lld van %lld)","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_AddAttachment","Voeg bijlage toe","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDeviceType","Fout bij het laden van 'Apparaattype'. Probeer opnieuw.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorSubmitting","Fout bij het indienen van het probleem. Probeer opnieuw.","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_New","Nieuw","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_NewIssue","Nieuwe Uitgave","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Ok","Ok","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Resolved","Opgelost","1.0"
"nl","NATIVE TICKET SDK","STATIC TEXT","NTS_Submit","Indienen","1.0"
