"LANGUAGE","APP_NAME","MODULE","LANG_CODE","VALUE","VERSION"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Back","De volta","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_CapturePhoto","Capturar Foto","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Created","criado.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Description","Descrição","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Device","Dispositivo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_DoNotGoBack","Não volte ou atualize a página.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_EnterTitle","Insira o Título","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDevices","Erro ao carregar 'Dispositivos'. Por favor, tente novamente.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorLoading","Erro ao carregar os dados. Por favor, tente novamente.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_InProgress","Em progresso","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueDetails","Detalhes do problema","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_IssueLoadingData","Problema ao carregar os dados","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Issues","Problemas","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxUploadSize","Tamanho máximo de upload de arquivo: %.1f MB.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_PleaseWaitLoading","Por favor, aguarde enquanto está carregando...","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_PullToRefresh","Puxe para baixo para atualizar.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_RecordVideo","Gravar vídeo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectCategory","Selecionar a categoria","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectSubCategory","Selecionar a subcategoria","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDeviceType","Selecione o Tipo de Dispositivo*","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectImages","Selecionar Imagens","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectDevice","Selecione o dispositivo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_FileExceedsSize","Este arquivo excede o tamanho máximo de arquivo de %.1f","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Title","Título","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_UnableToLoadData","Não é possível carregar os dados. Por favor, tente novamente.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Upload","Carregar","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentSingular","%lld Anexo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_AttachmentPlural","%lld Anexos","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_AddDetails","Adicione detalhes aqui","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Category","Categoria","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorCategory","Erro ao carregar 'Categoria'. Por favor, tente novamente.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Retry","Tentar novamente","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_SelectAll","Selecionar Tudo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_StoreHealth","Saúde da loja","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_SubCategory","Subcategoria","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketNumber","Bilhete #","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_TicketID","ID do bilhete:","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Uploaded","Carregado (%lld de %lld)","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_AddAttachment","Adicionar Anexo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorDeviceType","Erro ao carregar 'Tipo de Dispositivo'. Por favor, tente novamente.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_ErrorSubmitting","Erro ao enviar o problema. Por favor, tente novamente.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_New","Novo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_NewIssue","Nova Edição","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Ok","Ok.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Resolved","Resolvido","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_Submit","Enviar","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_UploadAttachment","Anexar Arquivo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","NTS_MaxFilesSelected","Você não pode selecionar mais de %lld arquivos para enviar.","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network","Rede","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_sd_extra_activities","Atividades Extra SD","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_hardware","Hardware","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_negoziando","Negociando","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_hardware","Hardware","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_ls_retail","LS Retail","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_network","Rede","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_iPhone","iPhone","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_eva_uc","EVA UC","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_adyen","Adyen","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_software","Software","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_ipad","iPad","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_monitoring","Monitoramento","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_printer","Impressora","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_inquiry","Inquérito / Ajuda","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_audio_video","Áudio/Vídeo","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_iphone","iPhone","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_database","Base de dados","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_eva","EVA","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_clientela","Clientela","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_software","Software","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_wifi_access_point","Ponto de Acesso WiFi","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_router","Roteador","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_dati_fisso_bloccante","Dati - Fixo - Bloqueador","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_dati_fisso_nonbloccante","Dati - Fixo - Não BloqueanteAnomalia","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_firewall","Firewall","1.0"
"pt","NATIVE TICKET SDK","STATIC TEXT","DM_SN_kiko_store_network_switch","Interruptor","1.0"
